Pattern	ItemId	ItemCage	ItemType	ItemCategory	DocSize	ItemRev	Name	SheetNumb	SheetRev	Frame	FileName	Extension	SecurityLevel	Rights	ForeignSecure	Nuclear	Subsafe	ControlCode	MasterLoc	OfflineLoc	DistStmt	RelatedId	RelatedCage	RelatedType	RelatedRev	WeaponsSystemCode	SourceSite	ExportControl	ObjType	SubPath	SpmtlDataType	Example
"^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_([0-9,A-Z,a-z]{5})_NULL_NULL_([0-9]{4})_NULL_[^_]+_([0-9]{4})_([^_]+)_([U,L,P])_([N,Y])_([N,Y])_([N,Y])_([N,Y]))(?i)\.pdf$"	$2 	$3 	FRC4_Dwg	Document		-	$2 	$4 	-	$5 	$1 	PDF		$7 	$8 	$9 	$10 				TBD					TBD			DR			96000-00001_78286_NULL_NULL_0001_NULL_NULL_0001_29_U_N_N_N_N.pdf
"^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_([0-9,A-Z,a-z]{5})_PL_NULL_([0-9]{4})_NULL_[^_]+_([0-9]{4})_([^_]+)_([U,L,P])_([N,Y])_([N,Y])_([N,Y])_([N,Y]))(?i)\.pdf$"	$2 	$3 	FRC4_PrtsLst	Document		-	$2 	$4 	-	$5 	$1 	PDF		$7 	$8 	$9 	$10 				TBD					TBD			DR			96000-00001_78286_PL_NULL_0001_NULL_NULL_0001_29_U_N_N_N_N.pdf
"^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_([0-9,A-Z,a-z]{5})_AL_NULL_([0-9]{4})_NULL_[^_]+_([0-9]{4})_([^_]+)_([U,L,P])_([N,Y])_([N,Y])_([N,Y])_([N,Y]))(?i)\.pdf$"	$2 	$3 	FRC4_AppLst	Document		-	$2 	$4 	-	$5 	$1 	PDF		$7 	$8 	$9 	$10 				TBD					TBD			DR			96000-00001_78286_AL_NULL_0001_NULL_NULL_0001_29_U_N_N_N_N.pdf
"^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_([0-9,A-Z,a-z]{5})_NULL_([^_]+)_([0-9]{4})_([^_]+)_[^_]+_([0-9]{4})_([^_]+)_([U,L,P])_([N,Y])_([N,Y])_([N,Y])_([N,Y]))(?i)\.pdf$"	$2 	$3 	FRC4_Dwg	Document		$4 	$2 	$5 	$6 	$7 	$1 	PDF		$9 	$10 	$11 	$12 				TBD					TBD			DR			96000-00001_78286_NULL_K_0001_K_NULL_0001_29_U_N_N_N_N.pdf
"^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_([0-9,A-Z,a-z]{5})_PL_([^_]+)_([0-9]{4})_([^_]+)_[^_]+_([0-9]{4})_([^_]+)_([U,L,P])_([N,Y])_([N,Y])_([N,Y])_([N,Y]))(?i)\.pdf$"	$2 	$3 	FRC4_PrtsLst	Document		$4 	$2 	$5 	$6 	$7 	$1 	PDF		$9 	$10 	$11 	$12 				TBD					TBD			DR			96000-00001_78286_PL_K_0001_K_NULL_0001_29_U_N_N_N_N.pdf
"^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_([0-9,A-Z,a-z]{5})_AL_([^_]+)_([0-9]{4})_([^_]+)_[^_]+_([0-9]{4})_([^_]+)_([U,L,P])_([N,Y])_([N,Y])_([N,Y])_([N,Y]))(?i)\.pdf$"	$2 	$3 	FRC4_AppLst	Document		$4 	$2 	$5 	$6 	$7 	$1 	PDF		$9 	$10 	$11 	$12 				TBD					TBD			DR			96000-00001_78286_AL_K_0001_K_NULL_0001_29_U_N_N_N_N.pdf
"^(([0-9]{3}-[0-9]{3}-[0-9]{3}(-[0-9]{3})?)_([0-9,A-Z,a-z]{5})_NULL_([^_]+)_([0-9]{4})_([^_]+)_[^_]+_([0-9]{4})_([^_]+)_([U,L,P])_([N,Y])_([N,Y])_([N,Y])_([N,Y]))(?i)\.PDF$"	$2 	$4 	FRC4_Dwg	Document		$5 	$2 	$6 	$7 	$8 	$1 	PDF		$10 	$11 	$12 	$13 				TBD					TBD			DR			901-031-678_77272_NULL_K_0006_K_NULL_0001_29_U_N_N_N_N.PDF
"^(([0-9]{3}-[0-9]{3}-[0-9]{3}(-[0-9]{3})?)_([0-9,A-Z,a-z]{5})_PL_([^_]+)_([0-9]{4})_([^_]+)_[^_]+_([0-9]{4})_([^_]+)_([U,L,P])_([N,Y])_([N,Y])_([N,Y])_([N,Y]))(?i)\.PDF$"	$2 	$4 	FRC4_PrtsLst	Document		$5 	$2 	$6 	$7 	$8 	$1 	PDF		$10 	$11 	$12 	$13 				TBD					TBD			DR			901-031-678_77272_PL_L_0001_L_NULL_0001_29_U_N_N_N_N.PDF
^([0-9]{3}A[0-9]{3})(?i)\.pdf$	$1 	3460	FRC4_Dwg	Document		-	$1 	1	-	1	$1 	PDF									TBD					TBD			DR			167A604.pdf
^(([0-9]{3}A[0-9]{3})PL)(?i)\.pdf$	$2 	3460	FRC4_PrtsLst	Document		-	$2 	1	-	1	$1 	PDF									TBD					TBD			DR			167A604PL.pdf
^(([0-9]{3}A[0-9]{3})_([^_()]+))(?i)\.pdf$	$2 	3460	FRC4_Dwg	Document		$3 	$2 	1	$3 	1	$1 	PDF									TBD					TBD			DR			190A104_B.pdf
^(([0-9]{3}A[0-9]{3})PL_([^_()]+))(?i)\.pdf$	$2 	3460	FRC4_PrtsLst	Document		$3 	$2 	1	$3 	1	$1 	PDF									TBD					TBD			DR			190A104PL_B.pdf
"(?i)^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_FS_([0-9]{3})_-{0,1}([^_()]+))(?i)([^.()]*)\.pdf$"	$2 	78286	FRC4_Dwg	Document		$4 	$2 	$3 	$4 	1	$1 	PDF									TBD					TBD			DR			"7060R-06101_FS_001_--.pdf,70201-22103_FS_003_-W.pdf,70201-22103_FS_001_AA.pdf,70700-77520_FS_002_-C_Marked.pdf"
"(?i)^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_AL_([^_]+)_(MSD-[^.()]+))\.pdf$"	$2 	78286	FRC4_AppLst	Document		$3 	$2 	1	$3 	1	$1 	PDF									TBD					TBD			DR			"70201-22103_AL_AA_MSD-0004612.pdf,70201-22205_AL_R_MSD-0004612.pdf"
"(?i)^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_PL_([0-9]{3})_([^_()]+))(?i)([^.()]*)\.pdf$"	$2 	78286	FRC4_PrtsLst	Document		$4 	$2 	$3 	$4 	1	$1 	PDF									TBD					TBD			DR			"70201-22201_PL_001_-W.pdf,70201-22103_PL_001_AM.pdf,70700-77520_PL_001_D_Marked.pdf"
"(?i)^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_AL_([0-9]{3})_([^_]+)[^.()]*)\.pdf$"	$2 	78286	FRC4_AppLst	Document		$4 	$2 	$3 	$4 	1	$1 	PDF									TBD					TBD			DR			70700-77520_AL_001_C_Marked.pdf
"(?i)^(([0-9,A-Z,a-z]{5}-[0-9,A-Z,a-z]{5})_EO_([^.()]+))\.pdf$"	$3 	78286	FRC4_ECN	Change		-	$2 	1	-	1	$1 	PDF									TBD	$2 	78286	FRC4_Dwg	-	TBD			DR			70201-22120_EO_00456.pdf
